timestamp,expected_power_kw
2026-01-23T00:00:00+07:00,0.00
2026-01-23T00:00:01+07:00,0.00
2026-01-23T00:00:02+07:00,0.00
2026-01-23T00:00:03+07:00,0.00
2026-01-23T00:00:04+07:00,0.00
2026-01-23T00:00:05+07:00,0.00
2026-01-23T00:00:06+07:00,0.00
2026-01-23T00:00:07+07:00,0.00
2026-01-23T00:00:08+07:00,0.00
2026-01-23T00:00:09+07:00,0.00
2026-01-23T00:00:10+07:00,0.00
2026-01-23T00:00:11+07:00,0.00
2026-01-23T00:00:12+07:00,0.00
2026-01-23T00:00:13+07:00,0.00
2026-01-23T00:00:14+07:00,0.00
2026-01-23T00:00:15+07:00,0.00
2026-01-23T00:00:16+07:00,0.00
2026-01-23T00:00:17+07:00,0.00
2026-01-23T00:00:18+07:00,0.00
2026-01-23T00:00:19+07:00,0.00
2026-01-23T00:00:20+07:00,0.00
2026-01-23T00:00:21+07:00,0.00
2026-01-23T00:00:22+07:00,0.00
2026-01-23T00:00:23+07:00,0.00
2026-01-23T00:00:24+07:00,0.00
2026-01-23T00:00:25+07:00,0.00
2026-01-23T00:00:26+07:00,0.00
2026-01-23T00:00:27+07:00,0.00
2026-01-23T00:00:28+07:00,0.00
2026-01-23T00:00:29+07:00,0.00
2026-01-23T00:00:30+07:00,0.00
2026-01-23T00:00:31+07:00,0.00
2026-01-23T00:00:32+07:00,0.00
2026-01-23T00:00:33+07:00,0.00
2026-01-23T00:00:34+07:00,0.00
2026-01-23T00:00:35+07:00,0.00
2026-01-23T00:00:36+07:00,0.00
2026-01-23T00:00:37+07:00,0.00
2026-01-23T00:00:38+07:00,0.00
2026-01-23T00:00:39+07:00,0.00
2026-01-23T00:00:40+07:00,0.00
2026-01-23T00:00:41+07:00,0.00
2026-01-23T00:00:42+07:00,0.00
2026-01-23T00:00:43+07:00,0.00
2026-01-23T00:00:44+07:00,0.00
2026-01-23T00:00:45+07:00,0.00
2026-01-23T00:00:46+07:00,0.00
2026-01-23T00:00:47+07:00,0.00
2026-01-23T00:00:48+07:00,0.00
2026-01-23T00:00:49+07:00,0.00
2026-01-23T00:00:50+07:00,0.00
2026-01-23T00:00:51+07:00,0.00
2026-01-23T00:00:52+07:00,0.00
2026-01-23T00:00:53+07:00,0.00
2026-01-23T00:00:54+07:00,0.00
2026-01-23T00:00:55+07:00,0.00
2026-01-23T00:00:56+07:00,0.00
2026-01-23T00:00:57+07:00,0.00
2026-01-23T00:00:58+07:00,0.00
2026-01-23T00:00:59+07:00,0.00
2026-01-23T00:01:00+07:00,0.00
2026-01-23T00:01:01+07:00,0.00
2026-01-23T00:01:02+07:00,0.00
2026-01-23T00:01:03+07:00,0.00
2026-01-23T00:01:04+07:00,0.00
2026-01-23T00:01:05+07:00,0.00
2026-01-23T00:01:06+07:00,0.00
2026-01-23T00:01:07+07:00,0.00
2026-01-23T00:01:08+07:00,0.00
2026-01-23T00:01:09+07:00,0.00
2026-01-23T00:01:10+07:00,0.00
2026-01-23T00:01:11+07:00,0.00
2026-01-23T00:01:12+07:00,0.00
2026-01-23T00:01:13+07:00,0.00
2026-01-23T00:01:14+07:00,0.00
2026-01-23T00:01:15+07:00,0.00
2026-01-23T00:01:16+07:00,0.00
2026-01-23T00:01:17+07:00,0.00
2026-01-23T00:01:18+07:00,0.00
2026-01-23T00:01:19+07:00,0.00
2026-01-23T00:01:20+07:00,0.00
2026-01-23T00:01:21+07:00,0.00
2026-01-23T00:01:22+07:00,0.00
2026-01-23T00:01:23+07:00,0.00
2026-01-23T00:01:24+07:00,0.00
2026-01-23T00:01:25+07:00,0.00
2026-01-23T00:01:26+07:00,0.00
2026-01-23T00:01:27+07:00,0.00
2026-01-23T00:01:28+07:00,0.00
2026-01-23T00:01:29+07:00,0.00
2026-01-23T00:01:30+07:00,0.00
2026-01-23T00:01:31+07:00,0.00
2026-01-23T00:01:32+07:00,0.00
2026-01-23T00:01:33+07:00,0.00
2026-01-23T00:01:34+07:00,0.00
2026-01-23T00:01:35+07:00,0.00
2026-01-23T00:01:36+07:00,0.00
2026-01-23T00:01:37+07:00,0.00
2026-01-23T00:01:38+07:00,0.00
2026-01-23T00:01:39+07:00,0.00
2026-01-23T00:01:40+07:00,0.00
2026-01-23T00:01:41+07:00,0.00
2026-01-23T00:01:42+07:00,0.00
2026-01-23T00:01:43+07:00,0.00
2026-01-23T00:01:44+07:00,0.00
2026-01-23T00:01:45+07:00,0.00
2026-01-23T00:01:46+07:00,0.00
2026-01-23T00:01:47+07:00,0.00
2026-01-23T00:01:48+07:00,0.00
2026-01-23T00:01:49+07:00,0.00
2026-01-23T00:01:50+07:00,0.00
2026-01-23T00:01:51+07:00,0.00
2026-01-23T00:01:52+07:00,0.00
2026-01-23T00:01:53+07:00,0.00
2026-01-23T00:01:54+07:00,0.00
2026-01-23T00:01:55+07:00,0.00
2026-01-23T00:01:56+07:00,0.00
2026-01-23T00:01:57+07:00,0.00
2026-01-23T00:01:58+07:00,0.00
2026-01-23T00:01:59+07:00,0.00
2026-01-23T00:02:00+07:00,0.00
2026-01-23T00:02:01+07:00,0.00
2026-01-23T00:02:02+07:00,0.00
2026-01-23T00:02:03+07:00,0.00
2026-01-23T00:02:04+07:00,0.00
2026-01-23T00:02:05+07:00,0.00
2026-01-23T00:02:06+07:00,0.00
2026-01-23T00:02:07+07:00,0.00
2026-01-23T00:02:08+07:00,0.00
2026-01-23T00:02:09+07:00,0.00
2026-01-23T00:02:10+07:00,0.00
2026-01-23T00:02:11+07:00,0.00
2026-01-23T00:02:12+07:00,0.00
2026-01-23T00:02:13+07:00,0.00
2026-01-23T00:02:14+07:00,0.00
2026-01-23T00:02:15+07:00,0.00
2026-01-23T00:02:16+07:00,0.00
2026-01-23T00:02:17+07:00,0.00
2026-01-23T00:02:18+07:00,0.00
2026-01-23T00:02:19+07:00,0.00
2026-01-23T00:02:20+07:00,0.00
2026-01-23T00:02:21+07:00,0.00
2026-01-23T00:02:22+07:00,0.00
2026-01-23T00:02:23+07:00,0.00
